"Azizi, Josef"
"Brkan, Maja"
"Buttigieg, Eugène"
"Cassagnabère, Hervé"
"Collins, Anthony"
"Cooke, John"
"Cremona, Ena"
"Czúcz, Ottó"
"da Silva Passos, Ricardo"
"De Baere, Geert"
"Dehousse, Franklin"
"Dimitrakopoulos, Ioannis"
"Forwood, Nicholas"
"Frendo, Ramona"
"Gâlea, Ion"
"García-Gallardo, Ramón"
"García-Valdecasas y Fernández, Rafael"
"Gratsias, Dimitrios"
"Hesse, Gerhard"
"Jaeger, Marc"
"José Costeira, Maria"
"Jürimäe, Küllike"
"Kancheva, Mariyana"
"Kanninen, Heikki"
"Kecsmár, Krisztián"
"Kingston, Suzanne"
"Knez, Jana"
"Kornezov, Alexander"
"Kowalik-Bańczyk, Krystyna"
"Kreuschitz, Viktor"
"Kukovec, Damjan"
"Kumin, Andreas"
"Labucka, Ingrīda"
"Laitenberger, Johannes"
"Legal, Hubert"
"Lindh, Pernilla"
"Loot, Heiki"
"Lourdes Arastey Sahún, María"
"Luis da Cruz Vilaca, Jose"
"Lukas Kalėda, Saulius"
"Mac Eochaidh, Colm"
"Madise, Lauri"
"Marcoulli, Anna"
"Mastroianni, Roberto"
"Mengozzi, Paolo"
"Mertens de Wilmars, Frédéric"
"Meyer, Raphaël"
"Milanesi, Enzo"
"Motoc, Iulia"
"Nihoul, Paul"
"Nõmm, Iko"
"Norkus, Rimvydas"
"Ó Caoimh, Aindrias"
"Öberg, Ulf"
"Palesne, Nina"
"Papasavvas, Savvas"
"Pavlík, Petr"
"Pelikánová, Irena"
"Pérez de Nanclares, José"
"Perišin, Tamara"
"Petrlík, David"
"Pirrung, Jörg"
"Półtorak, Nina"
"Porchia, Ornella"
"Prek, Miro"
"Pucurull, Miguel"
"Reine, Inga"
"Ribeiro, Maria"
"Ricziová, Beatrix"
"Riitta Pynnä, Tuula"
"Schwarcz, Juraj"
"Škvařilová-Pelzl, Petra"
"Spangsberg Grønfeldt, Louise"
"Spielmann, Dean"
"Spineanu-Matei, Octavia"
"Stancu, Mirela"
"Steinfatt, Gabriele"
"Sulyok, Gábor"
"Šváby, Daniel"
"Svenningsen, Jesper"
"Szívós, Mária"
"Tichy-Fisslberger, Elisabeth"
"Tiili, Virpi"
"Tomljenović, Vesna"
"Tóth, Tihamér"
"Trstenjak, Verica"
"Truchot, Laurent"
"Vadapalas, Vilenas"
"Valasidis, William"
"van der Woude, Marc"
"Verschuur, Steven"
"Vesterdorf, Bo"
"Vilaras, Michail"
"von Danwitz, Thomas"
"W. H. Meij, Arjen"
"Wahl, Nils"
"Wetter, Carl"
"Wiszniewska-Białecka, Irena"
"Zilgalvis, Pēteris"
